Perm ID,Grade
1066729,9
1109146,9
1018559,9
1055488,9
1016901,9
1001003,9
1117387,9
1107774,9
1019614,9
1024099,9
1020018,9
1059804,9
1021105,9
1088386,9
1033986,9
1086093,9
1018042,9
1019301,9
1020883,9
1065254,9
1076887,9
1100550,9
1017437,9
1024533,9
1102372,9
1083327,9
1017141,9
1095520,9
1107422,9
1080011,9
1037628,9
1024864,9
1020007,9
1036362,9
1075650,9
1117856,9
1116011,9
1057148,9
1020023,9
1088452,9
1009755,9
1017523,9
911136,9
1036628,9
1112065,9
1019192,9
1084158,9
1100233,9
1023166,9
1017459,9
1017447,9
1032302,9
1057118,9
1046101,9
1021468,9
1024653,9
1019512,9
1018579,9
1021385,9
1110545,9
1115609,9
1009746,9
1017029,9
1057703,9
1115735,9
1057462,9
1030220,9
1028923,9
1100304,9
1036131,9
1018063,9
1021400,9
1078678,9
1115798,9
1030523,9
1108367,9
1106955,9
1059924,9
1019163,9
1045339,9
1057036,9
1047285,9
1020032,9
1020003,9
1016906,9
1019201,9
1019089,9
1019654,9
1086246,9
1018076,9
1030762,9
1074198,9
1087692,9
1086064,9
1028659,9
1037985,9
1015093,9
1033820,9
1111957,9
1004694,9
1019194,9
1025089,9
1081973,9
1059121,9
1016977,9
1055408,9
1044888,9
1087584,9
1087586,9
1020447,9
1019414,9
1018089,9
1097579,9
1108194,9
1083866,9
1020039,9
1016471,9
1022160,9
1014473,9
1109907,9
1025067,9
1025066,9
1065792,9
1055429,9
1020046,9
1019996,9
1100924,9
1077608,9
1090203,9
1029168,9
1096707,9
1093988,9
1020186,9
1031153,9
1107252,9
1117278,9
1056527,9
1034132,9
1017741,9
1099135,9
1056528,9
1117818,9
1017731,9
1056887,9
1018501,9
1019210,9
1017502,9
1097519,9
1109192,9
1019998,9
1109354,9
1023901,9
1077748,9
1020428,9
1013947,9
1108197,9
1073479,9
1086179,9
1020028,9
1016465,9
1028975,9
1019176,9
1018710,9
1057624,9
1040949,9
1017464,9
1016800,9
1017859,9
1048638,9
1045806,9
1015240,9
1019183,9
1087618,9
1020014,9
1098584,9
1028963,9
1033999,9
1108759,9
1018156,9
1018331,9
1044569,9
1038171,9
1066607,9
1066054,9
1096738,9
1117048,9
1020713,9
1101005,9
1020111,9
1041805,9
1020133,9
1024248,9
1021289,9
1016948,9
1020869,9
1073992,9
1114862,9
1109748,9
1021474,9
1010372,9
1017962,9
1020408,9
1087151,9
1116629,9
1017743,9
1017750,9
1016899,9
1018196,9
1112274,9
1030268,9
1016702,9
1026993,9
1036530,9
1067518,9
1084970,9
1019029,9
1026373,9
1012465,9
1019204,9
1021023,9
1019224,9
1018691,9
1111569,9
1016459,9
1096697,9
1032315,9
1100895,9
1022048,9
1066819,9
1019565,9
1086788,9
1084443,9
1017267,9
1017302,9
1031568,9
1037771,9
1020669,9
1017299,9
1020104,9
1085090,9
1017038,9
1099132,9
1029143,9
1030530,9
1075220,9
1010323,9
1021467,9
1020072,9
1105961,9
1021020,9
1065801,9
1037569,9
1108195,9
1009236,9
1098233,9
1020968,9
1010036,9
1019673,9
916017,9
1021442,9
1027459,9
1111233,9
1065467,9
1029062,9
1080376,9
1100268,9
1048622,9
1008608,9
1022884,9
1014394,9
1014516,9
1036416,9
1059821,9
1017455,9
1110411,9
1016870,9
1106841,9
1090181,9
1018688,9
1021443,9
1023136,9
1099337,9
1031870,9
1031868,9
1109790,9
1108821,9
1029169,9
1030532,9
1028932,9
1097415,9
1106957,9
1097251,9
1022581,9
1032138,9
1018254,9
1043255,9
1017087,9
1109115,9
1109287,9
1017823,9
1018976,9
1007096,9
1031305,9
1019703,9
1024563,9
1019818,9
1017122,9
1109975,9
1109850,9
1017867,9
1003317,9
1017873,9
1030535,9
1021461,9
1009334,9
1019411,9
1087601,9
1023614,9
1020634,9
1090702,9
1018975,9
1110412,9
1090127,9
1019520,9
1066572,9
1003796,9
1030905,9
1021501,9
1090905,9
1043450,9
1044667,9
1115533,9
1106883,9
1011506,9
1032969,9
1049271,9
1089673,9
1034106,9
1107397,9
1017900,9
1017990,9
1024200,9
1017148,9
1020964,9
1030545,9
1019214,9
1115180,9
1021018,9
1021119,9
1047464,9
1017144,9
1108298,9
1017284,9
1038065,9
1105927,9
1071900,9
1059179,9
1028929,9
1020661,9
1065572,9
1018684,9
1114817,9
1110463,9
1065145,9
1068935,9
1108183,9
1047378,9
1020405,9
1074465,9
1023042,9
1089273,9
1019217,9
1099670,9
1020654,9
1019504,9
902360,9
1020410,9
1030332,9
1008144,9
1019518,9
1020275,9
1109067,9
1032198,9
1108591,10
1040121,10
1090710,10
1006876,10
1109948,10
1001204,10
1035280,10
1029176,10
1053121,10
1086094,10
902914,10
1036844,10
1086337,10
1087728,10
1077195,10
1009773,10
1017335,10
1069242,10
1001720,10
1100853,10
1100585,10
1083931,10
1013589,10
1044375,10
1006039,10
1016145,10
1034892,10
1005583,10
1033839,10
1036590,10
1106499,10
1060248,10
1006057,10
1009138,10
1107081,10
1052300,10
876003,10
1007358,10
1043337,10
1006980,10
1059062,10
1058301,10
1008906,10
1073854,10
1024292,10
1008381,10
1013639,10
1046045,10
1006983,10
1013488,10
1024132,10
1099213,10
1020811,10
1006146,10
1047608,10
1005263,10
1057146,10
1017321,10
1021490,10
1007952,10
1007285,10
1017854,10
1017474,10
1019457,10
1007513,10
1007375,10
1015375,10
1067370,10
1007528,10
1084821,10
1007567,10
1007300,10
1006493,10
1007641,10
1022616,10
1005513,10
1109310,10
1020796,10
1023461,10
1020970,10
1107801,10
1097350,10
1075051,10
1007718,10
1100320,10
1080379,10
1017467,10
1099084,10
1013631,10
1011114,10
1103502,10
1066201,10
1033313,10
1007650,10
1033303,10
1056910,10
1048869,10
1049275,10
1100946,10
1111365,10
1076325,10
1009180,10
1012386,10
1018406,10
1093829,10
1020572,10
1012168,10
1044682,10
1089705,10
1006435,10
1109565,10
1109654,10
1079487,10
1074990,10
1014167,10
1056818,10
869577,10
1065794,10
1010636,10
1044673,10
1007683,10
1015080,10
1098266,10
1019525,10
1019989,10
1006229,10
1035655,10
1006758,10
1017454,10
1068395,10
1018412,10
1012613,10
1006941,10
1071779,10
1106474,10
1107776,10
1107049,10
1020808,10
1098965,10
1110559,10
1084092,10
922533,10
1020814,10
1117817,10
1114965,10
1009158,10
1091087,10
1021555,10
1013186,10
1089934,10
1060335,10
1047848,10
1049279,10
1089762,10
1007688,10
1017324,10
1007685,10
1011142,10
1115720,10
1107762,10
1026161,10
1107749,10
1007702,10
1017222,10
1007468,10
1059553,10
1097051,10
1055731,10
1021027,10
1007490,10
1007091,10
1017207,10
1012051,10
915298,10
1018698,10
900135,10
1075857,10
1086252,10
1098223,10
1007762,10
1035639,10
1093384,10
1100654,10
1009788,10
1017473,10
1007712,10
1107034,10
1007727,10
1017261,10
1097325,10
1007728,10
1111690,10
1005861,10
1052387,10
1023998,10
1066608,10
1012265,10
1100100,10
1045283,10
1088472,10
1109923,10
1058119,10
1020363,10
1021342,10
1024214,10
1008143,10
1001085,10
1107729,10
1117847,10
1074524,10
1106395,10
1015866,10
1025893,10
1006180,10
1017158,10
1108360,10
1107427,10
1006910,10
1092748,10
1106343,10
1037642,10
1007471,10
1046514,10
1009710,10
1090906,10
1056019,10
1037289,10
1059721,10
1008618,10
1086732,10
1008258,10
1006195,10
1080002,10
1036114,10
1097660,10
1079856,10
1005889,10
1006270,10
912492,10
868077,10
1104994,10
1117607,10
1022776,10
1006375,10
1005919,10
1007086,10
1006003,10
1014935,10
1089727,10
1109307,10
916018,10
1006530,10
1117822,10
1015335,10
1006981,10
1015461,10
1042245,10
1093749,10
1026429,10
1008202,10
1086115,10
1088324,10
1021582,10
1023886,10
891457,10
1011047,10
1107846,10
1019744,10
1006986,10
1007689,10
1069259,10
910276,10
1077082,10
1014046,10
1008274,10
1027318,10
1008548,10
1108650,10
1108651,10
1007042,10
1117845,10
1108408,10
1007081,10
1021600,10
1024359,10
1098123,10
1007216,10
1006041,10
1007060,10
1066165,10
885389,10
1017334,10
1075064,10
1065252,10
1011158,10
1001170,10
1109864,10
1109151,10
1007304,10
1083691,10
1110536,10
1010259,10
1090469,10
1080852,10
1027693,10
1022204,10
876054,10
1066108,10
1108940,10
1104852,10
1021379,10
1106520,10
910763,10
1020807,10
1017301,10
1065727,10
1075429,10
1002484,10
1008794,10
1052149,10
1108489,10
1025773,10
1051816,10
1006209,10
1043954,10
1005507,10
1017501,10
904175,10
1020011,10
1018960,10
1006583,10
1005497,10
1022239,10
1089253,10
1055265,10
1047446,10
1107118,10
1106484,10
1013498,10
1043240,10
1005569,10
1006137,10
1007069,10
1075470,10
1012263,10
1021742,10
1023587,10
1063510,10
918785,10
1100315,10
1099640,10
1012772,10
1011810,10
1009577,10
1007023,10
1026004,10
1006843,10
1089674,10
1007536,10
1094828,10
1018295,10
1017966,10
1115182,10
1019503,10
1008323,10
1008326,10
1034097,10
1088449,10
1047599,10
1047198,10
1006599,10
1006601,10
1014082,10
1007089,10
1044755,10
1006400,10
1006408,10
1001171,10
1066626,10
1046049,10
1007026,10
1114856,10
1021595,10
1020388,10
1098589,10
1065434,10
1057956,10
1009107,10
1009106,10
1093681,10
917637,10
1009625,10
1007431,10
1024602,10
1115380,10
923591,10
924078,10
1006246,10
1025786,10
1007028,10
1006254,10
1066615,11
920896,11
919003,11
1097853,11
1025749,11
919007,11
1058120,11
1107852,11
1004287,11
1000858,11
1098228,11
1015268,11
1076293,11
1078573,11
1057812,11
919124,11
1014656,11
1100553,11
919729,11
1006844,11
1024535,11
1102376,11
903445,11
1009329,11
1049163,11
1009096,11
1002026,11
1036291,11
1004625,11
1005125,11
1077530,11
921373,11
1084306,11
919323,11
1015513,11
921678,11
1045448,11
1107812,11
1035862,11
919614,11
1068557,11
1056540,11
923866,11
829267,11
1088431,11
1006872,11
921380,11
1052287,11
1099614,11
1047423,11
1045557,11
921688,11
1002020,11
1045106,11
1003652,11
1047288,11
866578,11
867564,11
1110521,11
1078994,11
1055761,11
1116772,11
1024130,11
1012317,11
1003268,11
1097772,11
920364,11
1100283,11
918334,11
923997,11
1047658,11
1007739,11
1000618,11
1007580,11
1022429,11
1025665,11
1107986,11
920594,11
919561,11
920883,11
919277,11
1003573,11
919585,11
1034257,11
1000758,11
1057183,11
1114577,11
922510,11
919599,11
1064534,11
1009687,11
1114872,11
1108092,11
1106275,11
919609,11
1096257,11
920829,11
1092443,11
1065829,11
1023403,11
919667,11
1034643,11
1087691,11
1014423,11
1008458,11
1097204,11
923362,11
1007231,11
1001519,11
1111344,11
1117140,11
1109393,11
1057884,11
1097276,11
1056647,11
1056642,11
1033342,11
1101029,11
1010015,11
1055612,11
1059865,11
919691,11
920833,11
1078592,11
917651,11
919709,11
1066101,11
1066102,11
1007750,11
1012846,11
1109653,11
1047865,11
904280,11
1117081,11
918387,11
919728,11
1010649,11
1097259,11
919835,11
919839,11
1016141,11
923902,11
910396,11
1090204,11
920431,11
1017723,11
1009627,11
1088966,11
920293,11
1099065,11
1000927,11
919339,11
1044378,11
1117055,11
1038417,11
921480,11
1005209,11
1117816,11
1033163,11
1114478,11
1077075,11
1097277,11
919870,11
1043712,11
1025661,11
1094770,11
1064777,11
1044756,11
1007609,11
891731,11
904316,11
922797,11
1046587,11
1014785,11
1087127,11
1003815,11
921361,11
1007328,11
904152,11
1058447,11
1007283,11
921870,11
1048633,11
904153,11
1013043,11
1013807,11
899738,11
924080,11
1044605,11
1007280,11
1007537,11
919271,11
1026911,11
1000514,11
1010295,11
1059680,11
1033674,11
1107506,11
919978,11
1007297,11
1007276,11
919090,11
1019507,11
1113870,11
1000284,11
918944,11
1080340,11
1113641,11
1048213,11
920009,11
1058118,11
921012,11
1100982,11
1007775,11
1038268,11
920012,11
1008383,11
1097143,11
1101050,11
1007797,11
1007263,11
1063912,11
1088635,11
1053919,11
890994,11
1107331,11
1098511,11
1107438,11
1030202,11
1066275,11
1098283,11
1106268,11
1078612,11
1116699,11
919726,11
1066455,11
920591,11
1078023,11
1056700,11
920237,11
1004928,11
1009048,11
919776,11
1089809,11
919746,11
1034375,11
1056016,11
1004124,11
1010445,11
1009400,11
1007278,11
1064695,11
1008166,11
919721,11
919169,11
1007957,11
1045286,11
1004888,11
1013587,11
1014710,11
1097108,11
920132,11
1015334,11
1032194,11
904736,11
1089640,11
904372,11
1009784,11
920111,11
919690,11
1117122,11
919798,11
1107780,11
901627,11
920114,11
920128,11
1089728,11
898343,11
1058959,11
1066811,11
905719,11
1006918,11
1080038,11
919708,11
1001982,11
919675,11
1037008,11
1007983,11
1095385,11
919152,11
1034710,11
1007277,11
1098304,11
1031942,11
1068195,11
1110550,11
922610,11
1013352,11
1009709,11
901610,11
1117244,11
1076026,11
1015432,11
919311,11
920144,11
1111232,11
924026,11
1096974,11
920177,11
1064648,11
1009809,11
920181,11
1037747,11
1011736,11
919738,11
1059820,11
1069066,11
901238,11
920179,11
919869,11
1009634,11
917781,11
1006216,11
1000375,11
919806,11
1007801,11
904159,11
1100492,11
1034102,11
919713,11
1077686,11
1007265,11
1007592,11
1016888,11
1043630,11
1089738,11
923564,11
920195,11
920198,11
1007807,11
1076339,11
917669,11
1004534,11
1106433,11
920200,11
1065224,11
1108576,11
920210,11
1007840,11
918030,11
1065744,11
1076358,11
1013925,11
1007237,11
1043977,11
1007411,11
1108870,11
919882,11
1012260,11
1007749,11
919616,11
920219,11
917647,11
920232,11
1059440,11
1108169,11
1021916,11
873140,11
922166,11
1007260,11
920215,11
1015421,11
1001392,11
1007274,11
1007769,11
1001895,11
1089987,11
1022464,11
1024584,11
920260,11
1107809,11
917674,11
1045178,11
1087262,11
1046050,11
1065098,11
1047381,11
921781,11
1080360,11
1007148,11
1100467,11
1093292,11
1065355,11
913426,11
920189,11
1098103,11
1000394,11
1106463,11
920254,11
1079742,11
1068826,12
1090738,12
1046864,12
898067,12
897962,12
901765,12
1090825,12
1000452,12
1075126,12
924567,12
900510,12
1087528,12
1029179,12
1108696,12
1086276,12
896611,12
1075245,12
1088661,12
898052,12
1034061,12
901215,12
1065749,12
897669,12
1064600,12
1075430,12
877914,12
1038344,12
1066290,12
1066292,12
1044854,12
914482,12
908857,12
897108,12
1074236,12
1057579,12
915084,12
1005111,12
1037627,12
1016259,12
841134,12
899281,12
1007773,12
918921,12
1085443,12
1069298,12
906726,12
1056461,12
900572,12
1074882,12
1108793,12
1076954,12
900994,12
1066371,12
908736,12
1057577,12
898250,12
1022510,12
1116427,12
1116429,12
900268,12
896690,12
898532,12
1001333,12
1101035,12
1086372,12
1074224,12
920290,12
924432,12
914427,12
1115606,12
924574,12
920292,12
1015265,12
913517,12
898336,12
1025664,12
1003958,12
920296,12
918659,12
1036128,12
1003540,12
1045365,12
1067371,12
882639,12
1097378,12
1024643,12
897223,12
896131,12
897547,12
896104,12
899654,12
924418,12
923124,12
902086,12
1022544,12
1010997,12
1016085,12
901125,12
1097372,12
895899,12
1089289,12
896554,12
924544,12
1001673,12
1011120,12
896712,12
1037986,12
1079429,12
1034302,12
897717,12
879323,12
1014685,12
1024576,12
1060071,12
1109564,12
1087154,12
1101030,12
1016247,12
1087323,12
896673,12
898826,12
1077426,12
920003,12
1044426,12
869075,12
1015283,12
1007776,12
900586,12
897423,12
902023,12
896079,12
920345,12
1079486,12
1014159,12
923537,12
900887,12
895954,12
1005188,12
1010656,12
1107504,12
1057042,12
1079284,12
1043564,12
1066247,12
920349,12
904880,12
883544,12
1077016,12
920351,12
897110,12
1107775,12
1022462,12
884078,12
918972,12
1016406,12
1013230,12
1107064,12
1104349,12
1037022,12
895938,12
1034131,12
879358,12
1023750,12
1023757,12
1046197,12
1095611,12
1000423,12
895106,12
1033840,12
897324,12
896687,12
920358,12
1090387,12
1098901,12
1115719,12
902496,12
919886,12
920359,12
903077,12
900896,12
886376,12
1076022,12
1007847,12
898366,12
1116893,12
1068149,12
1088505,12
1009718,12
901058,12
1004021,12
1103740,12
906968,12
920371,12
1012047,12
1003417,12
921116,12
923443,12
897963,12
899449,12
1048983,12
1093463,12
896955,12
1015606,12
1086944,12
900517,12
1085991,12
1044250,12
1105808,12
1036020,12
897298,12
920386,12
1011015,12
904827,12
904738,12
1020241,12
1020242,12
1013570,12
913140,12
1011841,12
921339,12
1088347,12
1001437,12
881330,12
1065030,12
897024,12
897134,12
920455,12
1022603,12
1000327,12
898028,12
920468,12
1108779,12
1107719,12
1085458,12
920526,12
1105010,12
879365,12
1089311,12
898962,12
878240,12
1075630,12
1043096,12
1088136,12
1000359,12
1078611,12
898342,12
897926,12
899421,12
1033832,12
1086120,12
897146,12
917824,12
1106461,12
896414,12
1032850,12
919455,12
1012861,12
1016107,12
923213,12
1090859,12
1074851,12
1003052,12
906257,12
897317,12
897862,12
1086341,12
921013,12
897506,12
899711,12
1037825,12
1004920,12
1015333,12
920860,12
897304,12
1014960,12
1107794,12
1046752,12
1014135,12
1015258,12
918764,12
1001578,12
1080409,12
920970,12
896670,12
1060079,12
895957,12
897503,12
897516,12
1055701,12
897694,12
895980,12
914649,12
921018,12
1031938,12
1018677,12
1011969,12
1108178,12
897142,12
1006077,12
1097253,12
1065032,12
897096,12
1111231,12
1078049,12
1094254,12
1032912,12
900659,12
1003811,12
920060,12
896758,12
1056618,12
918635,12
1001498,12
1107465,12
1076306,12
878895,12
1013085,12
1013937,12
915742,12
1099314,12
912737,12
1025119,12
1083758,12
1027163,12
1048996,12
1083879,12
1033320,12
921088,12
1001241,12
897220,12
921136,12
1046361,12
905745,12
1106428,12
897932,12
897956,12
1052147,12
921150,12
921176,12
896093,12
1026495,12
1106368,12
903106,12
903452,12
1022238,12
1107581,12
1107122,12
1098025,12
1021745,12
1014838,12
897147,12
1069149,12
1066574,12
1004289,12
897993,12
1013411,12
1066517,12
1066518,12
1068513,12
1086271,12
1086331,12
900393,12
902985,12
1014372,12
1094779,12
1005215,12
921268,12
900610,12
903625,12
848471,12
899286,12
900621,12
1022625,12
921491,12
1026938,12
921477,12
1048995,12
1038054,12
1093856,12
898238,12
1002460,12
898533,12
921240,12
880702,12
1065483,12
1107737,12
1045176,12
1087373,12
1098783,12
1047376,12
1080359,12
1073885,12
847715,12
897707,12
1046311,12
898010,12
1059117,12
904523,12
1057507,12
1024603,12
897816,12
1005295,12
921243,12
879589,12
898316,12
896715,12
897515,12
1001641,12